locus_tag	type	GO_ID	GO_term
b0015	process	GO:0006457	protein folding
b0015	process	GO:0009408	response to heat
b0015	process	GO:0042026	protein refolding
b0015	process	GO:0006260	DNA replication
b0015	process	GO:0006457	protein folding
b0015	process	GO:0009408	response to heat
b0015	process	GO:0009408	response to heat
b0015	process	GO:0016032	viral process
b0015	process	GO:0016032	viral process
b0015	process	GO:0016032	viral process
b0015	process	GO:0042026	protein refolding
b0015	process	GO:0043335	protein unfolding
b0015	process	GO:0006260	DNA replication
b0015	process	GO:0006457	protein folding
b0015	process	GO:0006457	protein folding
b0015	process	GO:0009408	response to heat
b0015	process	GO:0042026	protein refolding
b0015	process	GO:0045892	negative regulation of DNA-templated transcription
b0015	process	GO:0065003	protein-containing complex assembly
b0016	process	GO:0006310	DNA recombination
b0016	process	GO:0006313	DNA transposition
b0016	process	GO:0032196	transposition
b0019	process	GO:0006811	monoatomic ion transport
b0019	process	GO:0006814	sodium ion transport
b0019	process	GO:0006885	regulation of pH
b0019	process	GO:0009651	response to salt stress
b0019	process	GO:0010446	response to alkaline pH
b0019	process	GO:0010446	response to alkaline pH
b0019	process	GO:0035725	sodium ion transmembrane transport
b0019	process	GO:0051453	regulation of intracellular pH
b0019	process	GO:0055085	transmembrane transport
b0020	process	GO:2000144	positive regulation of DNA-templated transcription initiation
b0020	process	GO:0006351	DNA-templated transcription
b0020	process	GO:0006355	regulation of DNA-templated transcription
b0020	process	GO:2000142	regulation of DNA-templated transcription initiation
b0021	process	GO:0006310	DNA recombination
b0021	process	GO:0006313	DNA transposition
b0021	process	GO:0006313	DNA transposition
b0021	process	GO:0032196	transposition
b0022	process	GO:0006313	DNA transposition
b0022	process	GO:0006310	DNA recombination
b0022	process	GO:0006313	DNA transposition
b0022	process	GO:0006313	DNA transposition
b0022	process	GO:0032196	transposition
b0023	process	GO:0006412	translation
b0023	process	GO:0006412	translation
b0023	process	GO:0000028	ribosomal small subunit assembly
b0023	process	GO:0002181	cytoplasmic translation
b0023	process	GO:0006412	translation
b0024	process	GO:0006974	DNA damage response
b0025	process	GO:0006747	FAD biosynthetic process
b0025	process	GO:0006771	riboflavin metabolic process
b0025	process	GO:0009231	riboflavin biosynthetic process
b0025	process	GO:0009398	FMN biosynthetic process
b0025	process	GO:0009398	FMN biosynthetic process
b0026	process	GO:0006412	translation
b0026	process	GO:0006418	tRNA aminoacylation for protein translation
b0026	process	GO:0006428	isoleucyl-tRNA aminoacylation
b0026	process	GO:0106074	aminoacyl-tRNA metabolism involved in translational fidelity
b0026	process	GO:0006412	translation
b0026	process	GO:0006418	tRNA aminoacylation for protein translation
b0026	process	GO:0006428	isoleucyl-tRNA aminoacylation
b0026	process	GO:0106074	aminoacyl-tRNA metabolism involved in translational fidelity
b0026	process	GO:0006428	isoleucyl-tRNA aminoacylation
b0026	process	GO:0006412	translation
b0026	process	GO:0006418	tRNA aminoacylation for protein translation
b0026	process	GO:0006428	isoleucyl-tRNA aminoacylation
b0026	process	GO:0006428	isoleucyl-tRNA aminoacylation
b0026	process	GO:0046677	response to antibiotic
b0026	process	GO:0106074	aminoacyl-tRNA metabolism involved in translational fidelity
b0027	process	GO:0006508	proteolysis
b0027	process	GO:0006508	proteolysis
b0027	process	GO:0006465	signal peptide processing
b0027	process	GO:0006465	signal peptide processing
b0027	process	GO:0006508	proteolysis
b0028	process	GO:0042026	protein refolding
b0029	process	GO:0008299	isoprenoid biosynthetic process
b0029	process	GO:0016114	terpenoid biosynthetic process
b0029	process	GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
b0029	process	GO:0050992	dimethylallyl diphosphate biosynthetic process
b0029	process	GO:0008299	isoprenoid biosynthetic process
b0029	process	GO:0016114	terpenoid biosynthetic process
b0029	process	GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
b0029	process	GO:0050992	dimethylallyl diphosphate biosynthetic process
b0029	process	GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
b0029	process	GO:0008299	isoprenoid biosynthetic process
b0029	process	GO:0016114	terpenoid biosynthetic process
b0029	process	GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
b0029	process	GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
b0029	process	GO:0050992	dimethylallyl diphosphate biosynthetic process
b0030	process	GO:0006144	purine nucleobase metabolic process
b0030	process	GO:0006152	purine nucleoside catabolic process
b0030	process	GO:0006206	pyrimidine nucleobase metabolic process
b0030	process	GO:0006144	purine nucleobase metabolic process
b0030	process	GO:0006152	purine nucleoside catabolic process
b0030	process	GO:0006206	pyrimidine nucleobase metabolic process
b0030	process	GO:0006974	DNA damage response
b0030	process	GO:0042454	ribonucleoside catabolic process
b0030	process	GO:0006144	purine nucleobase metabolic process
b0030	process	GO:0006152	purine nucleoside catabolic process
b0030	process	GO:0006206	pyrimidine nucleobase metabolic process
b0031	process	GO:0008652	amino acid biosynthetic process
b0031	process	GO:0009085	L-lysine biosynthetic process
b0031	process	GO:0009089	L-lysine biosynthetic process via diaminopimelate
b0031	process	GO:0019877	diaminopimelate biosynthetic process
b0031	process	GO:0008652	amino acid biosynthetic process
b0031	process	GO:0009085	L-lysine biosynthetic process
b0031	process	GO:0009089	L-lysine biosynthetic process via diaminopimelate
b0031	process	GO:0019877	diaminopimelate biosynthetic process
b0031	process	GO:0008652	amino acid biosynthetic process
b0031	process	GO:0019877	diaminopimelate biosynthetic process
b0031	process	GO:0019877	diaminopimelate biosynthetic process
b0031	process	GO:0008652	amino acid biosynthetic process
b0031	process	GO:0009085	L-lysine biosynthetic process
b0031	process	GO:0009089	L-lysine biosynthetic process via diaminopimelate
b0031	process	GO:0019877	diaminopimelate biosynthetic process
b0031	process	GO:0019877	diaminopimelate biosynthetic process
b0032	process	GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process
b0032	process	GO:0006526	L-arginine biosynthetic process
b0032	process	GO:0006541	glutamine metabolic process
b0032	process	GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process
b0032	process	GO:0006221	pyrimidine nucleotide biosynthetic process
b0032	process	GO:0006526	L-arginine biosynthetic process
b0032	process	GO:0006526	L-arginine biosynthetic process
b0032	process	GO:0006526	L-arginine biosynthetic process
b0032	process	GO:0006526	L-arginine biosynthetic process
b0032	process	GO:0006541	glutamine metabolic process
b0032	process	GO:0008652	amino acid biosynthetic process
b0032	process	GO:0019856	pyrimidine nucleobase biosynthetic process
b0032	process	GO:0044205	'de novo' UMP biosynthetic process
b0033	process	GO:0008652	amino acid biosynthetic process
b0033	process	GO:0019856	pyrimidine nucleobase biosynthetic process
b0033	process	GO:0006221	pyrimidine nucleotide biosynthetic process
b0033	process	GO:0006526	L-arginine biosynthetic process
b0033	process	GO:0006526	L-arginine biosynthetic process
b0033	process	GO:0006526	L-arginine biosynthetic process
b0033	process	GO:0006541	glutamine metabolic process
b0033	process	GO:0008652	amino acid biosynthetic process
b0033	process	GO:0019856	pyrimidine nucleobase biosynthetic process
b0033	process	GO:0044205	'de novo' UMP biosynthetic process
b0034	process	GO:0006351	DNA-templated transcription
b0034	process	GO:0006351	DNA-templated transcription
b0034	process	GO:0006351	DNA-templated transcription
b0034	process	GO:0006355	regulation of DNA-templated transcription
b0034	process	GO:0009437	carnitine metabolic process
b0034	process	GO:0006351	DNA-templated transcription
b0035	process	GO:0009437	carnitine metabolic process
b0035	process	GO:0009437	carnitine metabolic process
b0035	process	GO:0009437	carnitine metabolic process
b0035	process	GO:0009437	carnitine metabolic process
b0035	process	GO:0009437	carnitine metabolic process
b0036	process	GO:0042413	carnitine catabolic process
b0036	process	GO:0006635	fatty acid beta-oxidation
b0036	process	GO:0009437	carnitine metabolic process
b0037	process	GO:0006631	fatty acid metabolic process
b0037	process	GO:0009437	carnitine metabolic process
b0037	process	GO:0006631	fatty acid metabolic process
b0037	process	GO:0009437	carnitine metabolic process
b0037	process	GO:0009437	carnitine metabolic process
b0038	process	GO:0009437	carnitine metabolic process
b0038	process	GO:0009437	carnitine metabolic process
b0038	process	GO:0042413	carnitine catabolic process
b0038	process	GO:0009437	carnitine metabolic process
b0039	process	GO:0009437	carnitine metabolic process
b0039	process	GO:0009437	carnitine metabolic process
b0039	process	GO:0009437	carnitine metabolic process
b0039	process	GO:0033539	fatty acid beta-oxidation using acyl-CoA dehydrogenase
b0040	process	GO:0009437	carnitine metabolic process
b0040	process	GO:1900749	(R)-carnitine transport
b0040	process	GO:1900751	4-(trimethylammonio)butanoate transport
b0040	process	GO:1902270	(R)-carnitine transmembrane transport
b0040	process	GO:1902603	carnitine transmembrane transport
b0040	process	GO:0009437	carnitine metabolic process
b0040	process	GO:1900749	(R)-carnitine transport
b0040	process	GO:1900751	4-(trimethylammonio)butanoate transport
b0040	process	GO:1902270	(R)-carnitine transmembrane transport
b0040	process	GO:1902603	carnitine transmembrane transport
b0040	process	GO:0009437	carnitine metabolic process
b0040	process	GO:0015879	carnitine transport
b0040	process	GO:1900749	(R)-carnitine transport
b0040	process	GO:1900751	4-(trimethylammonio)butanoate transport
b0040	process	GO:1902270	(R)-carnitine transmembrane transport
b0040	process	GO:1902603	carnitine transmembrane transport
b0041	process	GO:0009437	carnitine metabolic process
b0041	process	GO:0009437	carnitine metabolic process
b0041	process	GO:0009437	carnitine metabolic process
b0041	process	GO:0042413	carnitine catabolic process
b0041	process	GO:0009437	carnitine metabolic process
b0042	process	GO:0009437	carnitine metabolic process
b0042	process	GO:0033539	fatty acid beta-oxidation using acyl-CoA dehydrogenase
b0042	process	GO:0009437	carnitine metabolic process
b0042	process	GO:0033539	fatty acid beta-oxidation using acyl-CoA dehydrogenase
b0042	process	GO:0009437	carnitine metabolic process
b0042	process	GO:0042413	carnitine catabolic process
b0042	process	GO:0009437	carnitine metabolic process
b0042	process	GO:0033539	fatty acid beta-oxidation using acyl-CoA dehydrogenase
b0043	process	GO:0009437	carnitine metabolic process
b0043	process	GO:0009437	carnitine metabolic process
b0045	process	GO:0006979	response to oxidative stress
b0045	process	GO:0055085	transmembrane transport
b0046	process	GO:0006813	potassium ion transport
b0046	process	GO:1901381	positive regulation of potassium ion transmembrane transport
b0046	process	GO:0006813	potassium ion transport
b0046	process	GO:1901381	positive regulation of potassium ion transmembrane transport
b0046	process	GO:0006813	potassium ion transport
b0046	process	GO:0051453	regulation of intracellular pH
b0046	process	GO:0051454	intracellular pH elevation
b0046	process	GO:1901381	positive regulation of potassium ion transmembrane transport
b0046	process	GO:1901381	positive regulation of potassium ion transmembrane transport
b0047	process	GO:0006811	monoatomic ion transport
b0047	process	GO:0006812	monoatomic cation transport
b0047	process	GO:0006813	potassium ion transport
b0047	process	GO:0051595	response to methylglyoxal
b0047	process	GO:0055085	transmembrane transport
b0047	process	GO:0071805	potassium ion transmembrane transport
b0047	process	GO:1902600	proton transmembrane transport
b0047	process	GO:0006811	monoatomic ion transport
b0047	process	GO:0006812	monoatomic cation transport
b0047	process	GO:0006813	potassium ion transport
b0047	process	GO:0051595	response to methylglyoxal
b0047	process	GO:0055085	transmembrane transport
b0047	process	GO:0071805	potassium ion transmembrane transport
b0047	process	GO:1902600	proton transmembrane transport
b0047	process	GO:0006813	potassium ion transport
b0047	process	GO:0006813	potassium ion transport
b0047	process	GO:0006813	potassium ion transport
b0047	process	GO:0006813	potassium ion transport
b0047	process	GO:0006885	regulation of pH
b0047	process	GO:0009636	response to toxic substance
b0047	process	GO:0042542	response to hydrogen peroxide
b0047	process	GO:0051595	response to methylglyoxal
b0047	process	GO:0006811	monoatomic ion transport
b0047	process	GO:0006812	monoatomic cation transport
b0047	process	GO:0006813	potassium ion transport
b0047	process	GO:0051453	regulation of intracellular pH
b0047	process	GO:0051454	intracellular pH elevation
b0047	process	GO:0051595	response to methylglyoxal
b0047	process	GO:0055085	transmembrane transport
b0047	process	GO:0071805	potassium ion transmembrane transport
b0047	process	GO:1902600	proton transmembrane transport
b0048	process	GO:0006730	one-carbon metabolic process
b0048	process	GO:0046452	dihydrofolate metabolic process
b0048	process	GO:0046654	tetrahydrofolate biosynthetic process
b0048	process	GO:0046655	folic acid metabolic process
b0048	process	GO:0009257	10-formyltetrahydrofolate biosynthetic process
b0048	process	GO:0009410	response to xenobiotic stimulus
b0048	process	GO:0046656	folic acid biosynthetic process
b0048	process	GO:0006730	one-carbon metabolic process
b0048	process	GO:0031427	response to methotrexate
b0048	process	GO:0044281	small molecule metabolic process
b0048	process	GO:0046452	dihydrofolate metabolic process
b0048	process	GO:0046654	tetrahydrofolate biosynthetic process
b0048	process	GO:0046654	tetrahydrofolate biosynthetic process
b0048	process	GO:0046655	folic acid metabolic process
b0048	process	GO:0046677	response to antibiotic
b0049	process	GO:0010165	response to X-ray
b0049	process	GO:0015949	nucleobase-containing small molecule interconversion
b0049	process	GO:0110154	RNA decapping
b0049	process	GO:0110154	RNA decapping
b0049	process	GO:0110154	RNA decapping
b0050	process	GO:0070987	error-free translesion synthesis
b0050	process	GO:0070987	error-free translesion synthesis
b0050	process	GO:0070987	error-free translesion synthesis
b0051	process	GO:0000154	rRNA modification
b0051	process	GO:0006364	rRNA processing
b0051	process	GO:0031167	rRNA methylation
b0051	process	GO:0032259	methylation
b0051	process	GO:0000154	rRNA modification
b0051	process	GO:0006364	rRNA processing
b0051	process	GO:0031167	rRNA methylation
b0051	process	GO:0032259	methylation
b0051	process	GO:0000028	ribosomal small subunit assembly
b0051	process	GO:0000028	ribosomal small subunit assembly
b0051	process	GO:0006364	rRNA processing
b0051	process	GO:0030490	maturation of SSU-rRNA
b0051	process	GO:0000154	rRNA modification
b0051	process	GO:0006364	rRNA processing
b0051	process	GO:0031167	rRNA methylation
b0051	process	GO:0032259	methylation
b0051	process	GO:0046677	response to antibiotic
b0051	process	GO:0070475	rRNA base methylation
b0052	process	GO:0008615	pyridoxine biosynthetic process
b0052	process	GO:0042823	pyridoxal phosphate biosynthetic process
b0052	process	GO:0008615	pyridoxine biosynthetic process
b0052	process	GO:0042823	pyridoxal phosphate biosynthetic process
b0052	process	GO:0008615	pyridoxine biosynthetic process
b0052	process	GO:0008615	pyridoxine biosynthetic process
b0052	process	GO:0042823	pyridoxal phosphate biosynthetic process
b0052	process	GO:0042823	pyridoxal phosphate biosynthetic process
b0052	process	GO:0008615	pyridoxine biosynthetic process
b0052	process	GO:0008615	pyridoxine biosynthetic process
b0052	process	GO:0042823	pyridoxal phosphate biosynthetic process
b0052	process	GO:0042823	pyridoxal phosphate biosynthetic process
b0053	process	GO:0006457	protein folding
b0053	process	GO:0006457	protein folding
b0053	process	GO:0006457	protein folding
b0053	process	GO:0006457	protein folding
b0053	process	GO:0036506	maintenance of unfolded protein
b0053	process	GO:0043165	Gram-negative-bacterium-type cell outer membrane assembly
b0053	process	GO:0043165	Gram-negative-bacterium-type cell outer membrane assembly
b0053	process	GO:0043165	Gram-negative-bacterium-type cell outer membrane assembly
b0053	process	GO:0050821	protein stabilization
b0053	process	GO:0050821	protein stabilization
b0053	process	GO:0050821	protein stabilization
b0054	process	GO:0015920	lipopolysaccharide transport
b0054	process	GO:0015920	lipopolysaccharide transport
b0054	process	GO:0043165	Gram-negative-bacterium-type cell outer membrane assembly
b0054	process	GO:0043165	Gram-negative-bacterium-type cell outer membrane assembly
b0054	process	GO:0043165	Gram-negative-bacterium-type cell outer membrane assembly
b0054	process	GO:0061024	membrane organization
b0058	process	GO:0000455	enzyme-directed rRNA pseudouridine synthesis
b0058	process	GO:0001522	pseudouridine synthesis
b0058	process	GO:0006364	rRNA processing
b0058	process	GO:0008033	tRNA processing
b0058	process	GO:0009451	RNA modification
b0058	process	GO:0031118	rRNA pseudouridine synthesis
b0058	process	GO:0031119	tRNA pseudouridine synthesis
b0058	process	GO:0000455	enzyme-directed rRNA pseudouridine synthesis
b0058	process	GO:0001522	pseudouridine synthesis
b0058	process	GO:0006364	rRNA processing
b0058	process	GO:0006396	RNA processing
b0058	process	GO:0008033	tRNA processing
b0058	process	GO:0009451	RNA modification
b0059	process	GO:0006351	DNA-templated transcription
b0059	process	GO:0006355	regulation of DNA-templated transcription
b0059	process	GO:0045893	positive regulation of DNA-templated transcription
b0059	process	GO:0006351	DNA-templated transcription
b0059	process	GO:0006355	regulation of DNA-templated transcription
b0059	process	GO:0031507	heterochromatin formation
b0059	process	GO:0045944	positive regulation of transcription by RNA polymerase II
b0060	process	GO:0006261	DNA-templated DNA replication
b0060	process	GO:0009432	SOS response
b0060	process	GO:0045004	DNA replication proofreading
b0060	process	GO:0006281	DNA repair
b0060	process	GO:0006974	DNA damage response
b0060	process	GO:0009432	SOS response
b0060	process	GO:0009432	SOS response
b0060	process	GO:0045004	DNA replication proofreading
b0060	process	GO:0071897	DNA biosynthetic process
b0061	process	GO:0019324	L-lyxose metabolic process
b0061	process	GO:0019569	L-arabinose catabolic process to D-xylulose 5-phosphate
b0061	process	GO:0005996	monosaccharide metabolic process
b0061	process	GO:0019323	pentose catabolic process
b0061	process	GO:0019568	arabinose catabolic process
b0061	process	GO:0019569	L-arabinose catabolic process to D-xylulose 5-phosphate
b0061	process	GO:0019569	L-arabinose catabolic process to D-xylulose 5-phosphate
b0061	process	GO:0019572	L-arabinose catabolic process
b0062	process	GO:0005996	monosaccharide metabolic process
b0062	process	GO:0019568	arabinose catabolic process
b0062	process	GO:0019569	L-arabinose catabolic process to D-xylulose 5-phosphate
b0062	process	GO:0019568	arabinose catabolic process
b0062	process	GO:0019569	L-arabinose catabolic process to D-xylulose 5-phosphate
b0062	process	GO:0005996	monosaccharide metabolic process
b0062	process	GO:0019568	arabinose catabolic process
b0062	process	GO:0019569	L-arabinose catabolic process to D-xylulose 5-phosphate
b0062	process	GO:0019569	L-arabinose catabolic process to D-xylulose 5-phosphate
b0063	process	GO:0005975	carbohydrate metabolic process
b0063	process	GO:0019321	pentose metabolic process
b0063	process	GO:0019568	arabinose catabolic process
b0063	process	GO:0019569	L-arabinose catabolic process to D-xylulose 5-phosphate
b0063	process	GO:0046835	carbohydrate phosphorylation
b0063	process	GO:0016052	carbohydrate catabolic process
b0063	process	GO:0019568	arabinose catabolic process
b0063	process	GO:0019568	arabinose catabolic process
b0063	process	GO:0019569	L-arabinose catabolic process to D-xylulose 5-phosphate
b0063	process	GO:0019572	L-arabinose catabolic process
b0063	process	GO:0005975	carbohydrate metabolic process
b0063	process	GO:0019321	pentose metabolic process
b0063	process	GO:0019568	arabinose catabolic process
b0063	process	GO:0019569	L-arabinose catabolic process to D-xylulose 5-phosphate
b0063	process	GO:0046835	carbohydrate phosphorylation
b0064	process	GO:0019568	arabinose catabolic process
b0064	process	GO:0006351	DNA-templated transcription
b0064	process	GO:0006355	regulation of DNA-templated transcription
b0064	process	GO:0006355	regulation of DNA-templated transcription
b0064	process	GO:0019568	arabinose catabolic process
b0064	process	GO:0045892	negative regulation of DNA-templated transcription
b0064	process	GO:0080090	regulation of primary metabolic process
b0065	process	GO:0010212	response to ionizing radiation
b0065	process	GO:0043093	FtsZ-dependent cytokinesis
b0065	process	GO:0043093	FtsZ-dependent cytokinesis
b0065	process	GO:0055085	transmembrane transport
b0065	process	GO:0055085	transmembrane transport
b0066	process	GO:0071934	thiamine transmembrane transport
b0066	process	GO:0071934	thiamine transmembrane transport
b0066	process	GO:0071934	thiamine transmembrane transport
b0067	process	GO:0071934	thiamine transmembrane transport
b0067	process	GO:0015888	thiamine transport
b0067	process	GO:0055085	transmembrane transport
b0067	process	GO:0071934	thiamine transmembrane transport
b0068	process	GO:0015888	thiamine transport
b0068	process	GO:0015888	thiamine transport
b0068	process	GO:0015888	thiamine transport
b0068	process	GO:0055085	transmembrane transport
b0068	process	GO:0071934	thiamine transmembrane transport
b0069	process	GO:0045892	negative regulation of DNA-templated transcription
b0069	process	GO:0045893	positive regulation of DNA-templated transcription
b0069	process	GO:0006351	DNA-templated transcription
b0069	process	GO:0015833	peptide transport
b0069	process	GO:0045892	negative regulation of DNA-templated transcription
b0069	process	GO:0045893	positive regulation of DNA-templated transcription
b0069	process	GO:0055085	transmembrane transport
b4662	process	GO:0046325	negative regulation of D-glucose import across plasma membrane
b4662	process	GO:0046325	negative regulation of D-glucose import across plasma membrane
b4662	process	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system
b4662	process	GO:0046325	negative regulation of D-glucose import across plasma membrane
b0070	process	GO:0015767	lactose transport
b0070	process	GO:0034219	carbohydrate transmembrane transport
b0070	process	GO:0036448	cellular response to glucose-phosphate stress
b0070	process	GO:0036448	cellular response to glucose-phosphate stress
b0070	process	GO:1904659	D-glucose transmembrane transport
b0070	process	GO:0008643	carbohydrate transport
b0070	process	GO:0015767	lactose transport
b0070	process	GO:0036448	cellular response to glucose-phosphate stress
b0070	process	GO:0055085	transmembrane transport
b0070	process	GO:1902600	proton transmembrane transport
b0070	process	GO:1904659	D-glucose transmembrane transport
b0071	process	GO:0008652	amino acid biosynthetic process
b0071	process	GO:0009082	branched-chain amino acid biosynthetic process
b0071	process	GO:0009098	L-leucine biosynthetic process
b0071	process	GO:0009098	L-leucine biosynthetic process
b0071	process	GO:0008652	amino acid biosynthetic process
b0071	process	GO:0009082	branched-chain amino acid biosynthetic process
b0071	process	GO:0009098	L-leucine biosynthetic process
b0071	process	GO:0009098	L-leucine biosynthetic process
b0071	process	GO:0009098	L-leucine biosynthetic process
b0072	process	GO:0008652	amino acid biosynthetic process
b0072	process	GO:0009082	branched-chain amino acid biosynthetic process
b0072	process	GO:0009098	L-leucine biosynthetic process
b0072	process	GO:0009098	L-leucine biosynthetic process
b0072	process	GO:0008652	amino acid biosynthetic process
b0072	process	GO:0009082	branched-chain amino acid biosynthetic process
b0072	process	GO:0009098	L-leucine biosynthetic process
b0072	process	GO:0009098	L-leucine biosynthetic process
b0073	process	GO:0009098	L-leucine biosynthetic process
b0073	process	GO:0009098	L-leucine biosynthetic process
b0073	process	GO:0034198	cellular response to amino acid starvation
b0073	process	GO:0034198	cellular response to amino acid starvation
b0073	process	GO:0008652	amino acid biosynthetic process
b0073	process	GO:0009082	branched-chain amino acid biosynthetic process
b0073	process	GO:0009098	L-leucine biosynthetic process
b0073	process	GO:0009098	L-leucine biosynthetic process
b0074	process	GO:0008652	amino acid biosynthetic process
b0074	process	GO:0009082	branched-chain amino acid biosynthetic process
b0074	process	GO:0009098	L-leucine biosynthetic process
b0074	process	GO:0019752	carboxylic acid metabolic process
b0074	process	GO:0009098	L-leucine biosynthetic process
b0074	process	GO:0008652	amino acid biosynthetic process
b0074	process	GO:0009082	branched-chain amino acid biosynthetic process
b0074	process	GO:0009098	L-leucine biosynthetic process
b0074	process	GO:0009098	L-leucine biosynthetic process
b0074	process	GO:0019752	carboxylic acid metabolic process
b0075	process	GO:0008652	amino acid biosynthetic process
b0075	process	GO:0009082	branched-chain amino acid biosynthetic process
b0075	process	GO:0009098	L-leucine biosynthetic process
b0076	process	GO:0006355	regulation of DNA-templated transcription
b0076	process	GO:0006351	DNA-templated transcription
b0076	process	GO:0006355	regulation of DNA-templated transcription
b0076	process	GO:0006355	regulation of DNA-templated transcription
b0077	process	GO:0009097	isoleucine biosynthetic process
b0077	process	GO:0009099	L-valine biosynthetic process
b0077	process	GO:0008652	amino acid biosynthetic process
b0077	process	GO:0009082	branched-chain amino acid biosynthetic process
b0077	process	GO:0009082	branched-chain amino acid biosynthetic process
