locus_tag	type	GO_ID	GO_term
BPS_RS00080	process	GO:0015628	                     /GO_process=""GO:0015628 - protein secretion by the type II
BPS_RS00085	component	GO:0015627	                     /GO_component=""GO:0015627 - type II protein secretion
BPS_RS00085	process	GO:0015628	                     /GO_process=""GO:0015628 - protein secretion by the type II
BPS_RS00095	component	GO:0009279	cell outer membrane
BPS_RS00095	function	GO:0015288	porin activity
BPS_RS00095	process	GO:0006810	transport
BPS_RS00105	function	GO:0003700	                     /GO_function=""GO:0003700 - DNA-binding transcription
BPS_RS00105	process	GO:0006355	                     /GO_process=""GO:0006355 - regulation of DNA-templated
BPS_RS00110	component	GO:0016020	membrane
BPS_RS00110	function	GO:0022857	                     /GO_function=""GO:0022857 - transmembrane transporter
BPS_RS00110	process	GO:0006855	                     /GO_process=""GO:0006855 - xenobiotic transmembrane
BPS_RS00115	function	GO:0003677	DNA binding
BPS_RS00115	function	GO:0003700	                     /GO_function=""GO:0003700 - DNA-binding transcription
BPS_RS00115	process	GO:0006355	                     /GO_process=""GO:0006355 - regulation of DNA-templated
BPS_RS00130	component	GO:0009425	                     /GO_component=""GO:0009425 - bacterial-type flagellum basal
BPS_RS00130	process	GO:0006935	chemotaxis
BPS_RS00130	process	GO:0071973	                     /GO_process=""GO:0071973 - bacterial-type
BPS_RS00135	component	GO:0009288	                     /GO_component=""GO:0009288 - bacterial-type flagellum
BPS_RS00135	process	GO:0001539	                     /GO_process=""GO:0001539 - cilium or flagellum-dependent
BPS_RS00140	component	GO:0009288	                     /GO_component=""GO:0009288 - bacterial-type flagellum
BPS_RS00140	component	GO:0016020	membrane
BPS_RS00140	function	GO:0003774	                     /GO_function=""GO:0003774 - cytoskeletal motor activity
BPS_RS00140	process	GO:0001539	                     /GO_process=""GO:0001539 - cilium or flagellum-dependent
BPS_RS00145	component	GO:0016020	membrane
BPS_RS00145	process	GO:0044781	                     /GO_process=""GO:0044781 - bacterial-type flagellum
BPS_RS00150	component	GO:0016020	membrane
BPS_RS00150	process	GO:0009306	protein secretion
BPS_RS00155	component	GO:0016020	membrane
BPS_RS00155	process	GO:0044780	                     /GO_process=""GO:0044780 - bacterial-type flagellum
BPS_RS00160	component	GO:0016020	membrane
BPS_RS00160	process	GO:0006605	protein targeting
BPS_RS00160	process	GO:0044780	                     /GO_process=""GO:0044780 - bacterial-type flagellum
BPS_RS00170	function	GO:0008168	                     /GO_function=""GO:0008168 - methyltransferase activity
BPS_RS00170	function	GO:1904047	                     /GO_function=""GO:1904047 - S-adenosyl-L-methionine binding
BPS_RS00185	function	GO:0005215	transporter activity
BPS_RS00185	function	GO:0005524	ATP binding
BPS_RS00185	function	GO:0016887	                     /GO_function=""GO:0016887 - ATP hydrolysis activity
BPS_RS00185	function	GO:0042626	                     /GO_function=""GO:0042626 - ATPase-coupled transmembrane
BPS_RS00185	function	GO:0140359	                     /GO_function=""GO:0140359 - ABC-type transporter activity
BPS_RS00185	process	GO:0006810	transport
BPS_RS00190	function	GO:0005524	ATP binding
BPS_RS00190	function	GO:0022857	                     /GO_function=""GO:0022857 - transmembrane transporter
BPS_RS00195	function	GO:0000155	                     /GO_function=""GO:0000155 - phosphorelay sensor kinase
BPS_RS00195	function	GO:0004673	                     /GO_function=""GO:0004673 - protein histidine kinase
BPS_RS00195	function	GO:0005524	ATP binding
BPS_RS00195	process	GO:0007165	signal transduction
BPS_RS00200	process	GO:0000160	                     /GO_process=""GO:0000160 - phosphorelay signal transduction
BPS_RS00205	component	GO:0009279	cell outer membrane
BPS_RS00205	component	GO:0016020	membrane
BPS_RS00205	function	GO:0015288	porin activity
BPS_RS00215	function	GO:0003677	DNA binding
BPS_RS00215	function	GO:0008168	                     /GO_function=""GO:0008168 - methyltransferase activity
BPS_RS00215	function	GO:0008170	                     /GO_function=""GO:0008170 - N-methyltransferase activity
BPS_RS00215	function	GO:1904047	                     /GO_function=""GO:1904047 - S-adenosyl-L-methionine binding
BPS_RS00215	process	GO:0006306	                     /GO_process=""GO:0006306 - obsolete DNA methylation
BPS_RS00215	process	GO:0009307	                     /GO_process=""GO:0009307 - DNA restriction-modification
BPS_RS00225	component	GO:0009279	cell outer membrane
BPS_RS00225	function	GO:0015288	porin activity
BPS_RS00230	function	GO:0003700	                     /GO_function=""GO:0003700 - DNA-binding transcription
BPS_RS00230	function	GO:0043565	                     /GO_function=""GO:0043565 - sequence-specific DNA binding
BPS_RS00230	process	GO:0006355	                     /GO_process=""GO:0006355 - regulation of DNA-templated
BPS_RS00235	function	GO:0005524	ATP binding
BPS_RS00235	function	GO:0016887	                     /GO_function=""GO:0016887 - ATP hydrolysis activity
BPS_RS00235	function	GO:0042626	                     /GO_function=""GO:0042626 - ATPase-coupled transmembrane
BPS_RS00235	function	GO:0140359	                     /GO_function=""GO:0140359 - ABC-type transporter activity
BPS_RS00240	function	GO:0005524	ATP binding
BPS_RS00240	function	GO:0016887	                     /GO_function=""GO:0016887 - ATP hydrolysis activity
BPS_RS00240	function	GO:0042626	                     /GO_function=""GO:0042626 - ATPase-coupled transmembrane
BPS_RS00240	function	GO:0140359	                     /GO_function=""GO:0140359 - ABC-type transporter activity
BPS_RS00245	component	GO:0016020	membrane
BPS_RS00245	component	GO:0043190	                     /GO_component=""GO:0043190 - ATP-binding cassette (ABC)
BPS_RS00245	function	GO:0015658	                     /GO_function=""GO:0015658 - branched-chain amino acid
BPS_RS00245	function	GO:0042626	                     /GO_function=""GO:0042626 - ATPase-coupled transmembrane
BPS_RS00245	function	GO:0140359	                     /GO_function=""GO:0140359 - ABC-type transporter activity
BPS_RS00245	process	GO:0015803	                     /GO_process=""GO:0015803 - branched-chain amino acid
BPS_RS00250	function	GO:0042626	                     /GO_function=""GO:0042626 - ATPase-coupled transmembrane
BPS_RS00250	function	GO:0140359	                     /GO_function=""GO:0140359 - ABC-type transporter activity
BPS_RS00250	process	GO:0015803	                     /GO_process=""GO:0015803 - branched-chain amino acid
BPS_RS00260	function	GO:0004030	                     /GO_function=""GO:0004030 - aldehyde dehydrogenase
BPS_RS00275	function	GO:0016491	                     /GO_function=""GO:0016491 - oxidoreductase activity
BPS_RS00275	function	GO:0070403	NAD+ binding
BPS_RS00280	function	GO:0016491	                     /GO_function=""GO:0016491 - oxidoreductase activity
BPS_RS00280	function	GO:0050660	                     /GO_function=""GO:0050660 - flavin adenine dinucleotide
BPS_RS00285	function	GO:0003677	DNA binding
BPS_RS00285	function	GO:0003700	                     /GO_function=""GO:0003700 - DNA-binding transcription
BPS_RS00300	component	GO:0016020	membrane
BPS_RS00300	function	GO:0016717	                     /GO_function=""GO:0016717 - oxidoreductase activity, acting
BPS_RS00300	function	GO:0046872	metal ion binding
BPS_RS00300	process	GO:0006633	                     /GO_process=""GO:0006633 - fatty acid biosynthetic process
BPS_RS00310	function	GO:0003677	DNA binding
BPS_RS00310	function	GO:0003700	                     /GO_function=""GO:0003700 - DNA-binding transcription
BPS_RS00310	process	GO:0006355	                     /GO_process=""GO:0006355 - regulation of DNA-templated
BPS_RS00315	function	GO:0016627	                     /GO_function=""GO:0016627 - oxidoreductase activity, acting
BPS_RS00320	function	GO:0016747	                     /GO_function=""GO:0016747 - acyltransferase activity,
BPS_RS00325	function	GO:0070403	NAD+ binding
BPS_RS00325	process	GO:0006631	                     /GO_process=""GO:0006631 - fatty acid metabolic process
BPS_RS00330	function	GO:0003824	catalytic activity
BPS_RS00360	function	GO:0003677	DNA binding
BPS_RS00360	function	GO:0016987	sigma factor activity
BPS_RS00360	process	GO:0006352	                     /GO_process=""GO:0006352 - DNA-templated transcription
BPS_RS00370	component	GO:0016020	membrane
BPS_RS00370	function	GO:0009055	                     /GO_function=""GO:0009055 - electron transfer activity
BPS_RS00370	function	GO:0020037	heme binding
BPS_RS00370	function	GO:0046872	metal ion binding
BPS_RS00370	process	GO:0022904	                     /GO_process=""GO:0022904 - respiratory electron transport
BPS_RS00380	component	GO:0005694	chromosome
BPS_RS00380	function	GO:0003677	DNA binding
BPS_RS00380	function	GO:0003918	                     /GO_function=""GO:0003918 - DNA topoisomerase type II
BPS_RS00380	function	GO:0005524	ATP binding
BPS_RS00380	process	GO:0006265	DNA topological change
BPS_RS00385	component	GO:0009360	                     /GO_component=""GO:0009360 - DNA polymerase III complex
BPS_RS00385	function	GO:0003677	DNA binding
BPS_RS00385	function	GO:0003887	                     /GO_function=""GO:0003887 - DNA-directed DNA polymerase
BPS_RS00385	process	GO:0006260	DNA replication
BPS_RS00390	function	GO:0003677	DNA binding
BPS_RS00390	function	GO:0003688	                     /GO_function=""GO:0003688 - DNA replication origin binding
BPS_RS00390	function	GO:0005524	ATP binding
BPS_RS00390	process	GO:0006270	                     /GO_process=""GO:0006270 - DNA replication initiation
BPS_RS00390	process	GO:0006275	                     /GO_process=""GO:0006275 - regulation of DNA replication
BPS_RS00395	component	GO:0000315	                     /GO_component=""GO:0000315 - organellar large ribosomal
BPS_RS00395	component	GO:0022625	                     /GO_component=""GO:0022625 - cytosolic large ribosomal
BPS_RS00395	function	GO:0003735	                     /GO_function=""GO:0003735 - structural constituent of
BPS_RS00395	process	GO:0006412	translation
BPS_RS00400	function	GO:0000049	tRNA binding
BPS_RS00400	function	GO:0004526	                     /GO_function=""GO:0004526 - ribonuclease P activity
BPS_RS00400	process	GO:0008033	tRNA processing
BPS_RS00410	component	GO:0016020	membrane
BPS_RS00410	function	GO:0032977	                     /GO_function=""GO:0032977 - membrane insertase activity
BPS_RS00420	function	GO:0003924	GTPase activity
BPS_RS00420	function	GO:0005515	protein binding
BPS_RS00420	function	GO:0005525	GTP binding
BPS_RS00420	process	GO:0006400	tRNA modification
BPS_RS00425	function	GO:0003677	DNA binding
BPS_RS00425	process	GO:0006310	DNA recombination
BPS_RS00425	process	GO:0015074	DNA integration
BPS_RS32215	function	GO:0003677	DNA binding
BPS_RS32215	function	GO:0003700	                     /GO_function=""GO:0003700 - DNA-binding transcription
BPS_RS32215	process	GO:0006355	                     /GO_process=""GO:0006355 - regulation of DNA-templated
BPS_RS00470	function	GO:0004803	transposase activity
BPS_RS00470	process	GO:0006313	DNA transposition
BPS_RS00490	function	GO:0008080	                     /GO_function=""GO:0008080 - N-acetyltransferase activity
BPS_RS00510	function	GO:0003700	                     /GO_function=""GO:0003700 - DNA-binding transcription
BPS_RS00510	process	GO:0006281	DNA repair
BPS_RS00510	process	GO:0006355	                     /GO_process=""GO:0006355 - regulation of DNA-templated
BPS_RS00515	component	GO:0032993	protein-DNA complex
BPS_RS00515	function	GO:0019104	                     /GO_function=""GO:0019104 - DNA N-glycosylase activity
BPS_RS00515	process	GO:0006281	DNA repair
BPS_RS00520	function	GO:0004357	                     /GO_function=""GO:0004357 - glutamate-cysteine ligase
BPS_RS00520	process	GO:0006750	                     /GO_process=""GO:0006750 - glutathione biosynthetic process
BPS_RS00540	component	GO:0032993	protein-DNA complex
BPS_RS00540	function	GO:0001216	                     /GO_function=""GO:0001216 - DNA-binding transcription
BPS_RS00540	process	GO:0006355	                     /GO_process=""GO:0006355 - regulation of DNA-templated
BPS_RS00545	component	GO:0030288	                     /GO_component=""GO:0030288 - outer membrane-bounded
BPS_RS00545	component	GO:0055052	                     /GO_component=""GO:0055052 - ATP-binding cassette (ABC)
BPS_RS00545	function	GO:0019808	polyamine binding
BPS_RS00545	process	GO:0015846	polyamine transport
BPS_RS00555	component	GO:0005737	cytoplasm
BPS_RS00555	function	GO:0050126	                     /GO_function=""GO:0050126 - N-carbamoylputrescine amidase
BPS_RS00555	process	GO:0009446	                     /GO_process=""GO:0009446 - putrescine biosynthetic process
BPS_RS00595	function	GO:0016790	                     /GO_function=""GO:0016790 - thiolester hydrolase activity
BPS_RS00595	function	GO:0016836	hydro-lyase activity
BPS_RS00595	function	GO:0047617	                     /GO_function=""GO:0047617 - fatty acyl-CoA hydrolase
BPS_RS00610	component	GO:0032993	protein-DNA complex
BPS_RS00610	function	GO:0001216	                     /GO_function=""GO:0001216 - DNA-binding transcription
BPS_RS00610	process	GO:0006355	                     /GO_process=""GO:0006355 - regulation of DNA-templated
BPS_RS00615	function	GO:0003677	DNA binding
BPS_RS00615	function	GO:0003916	                     /GO_function=""GO:0003916 - DNA topoisomerase activity
BPS_RS00615	process	GO:0006265	DNA topological change
BPS_RS00620	function	GO:0015035	                     /GO_function=""GO:0015035 - protein-disulfide reductase
BPS_RS00625	process	GO:0009294	                     /GO_process=""GO:0009294 - DNA-mediated transformation
BPS_RS00630	function	GO:0042586	                     /GO_function=""GO:0042586 - peptide deformylase activity
BPS_RS00630	process	GO:0036211	                     /GO_process=""GO:0036211 - protein modification process
BPS_RS00635	component	GO:0005737	cytoplasm
BPS_RS00635	function	GO:0004479	                     /GO_function=""GO:0004479 - methionyl-tRNA
BPS_RS00635	process	GO:0071951	                     /GO_process=""GO:0071951 - conversion of methionyl-tRNA to
BPS_RS00640	component	GO:0016020	membrane
BPS_RS00640	process	GO:0006865	amino acid transport
BPS_RS00645	function	GO:0004222	                     /GO_function=""GO:0004222 - metalloendopeptidase activity
BPS_RS00645	process	GO:0006508	proteolysis
BPS_RS00650	function	GO:0003723	RNA binding
BPS_RS00650	function	GO:0008649	                     /GO_function=""GO:0008649 - rRNA methyltransferase activity
BPS_RS00650	process	GO:0001510	RNA methylation
BPS_RS00650	process	GO:0006355	                     /GO_process=""GO:0006355 - regulation of DNA-templated
BPS_RS00650	process	GO:0006364	rRNA processing
BPS_RS34200	function	GO:0003677	DNA binding
BPS_RS34200	process	GO:0006310	DNA recombination
BPS_RS34200	process	GO:0015074	DNA integration
BPS_RS32185	function	GO:0003677	DNA binding
BPS_RS00750	function	GO:0003677	DNA binding
BPS_RS00760	function	GO:0003677	DNA binding
BPS_RS00775	process	GO:0098003	viral tail assembly
BPS_RS00785	process	GO:0098003	viral tail assembly
BPS_RS00790	component	GO:0044423	virion component
BPS_RS00790	function	GO:0005198	                     /GO_function=""GO:0005198 - structural molecule activity
BPS_RS00790	process	GO:0016032	viral process
BPS_RS00810	component	GO:0044423	virion component
BPS_RS00810	function	GO:0005198	                     /GO_function=""GO:0005198 - structural molecule activity
BPS_RS00810	process	GO:0016032	viral process
BPS_RS00825	component	GO:0044423	virion component
BPS_RS00825	function	GO:0005198	                     /GO_function=""GO:0005198 - structural molecule activity
BPS_RS00825	process	GO:0019068	virion assembly
BPS_RS00835	component	GO:0044423	virion component
BPS_RS00835	function	GO:0005198	                     /GO_function=""GO:0005198 - structural molecule activity
BPS_RS00835	process	GO:0016032	viral process
BPS_RS00885	component	GO:0019028	viral capsid
BPS_RS00885	function	GO:0005198	                     /GO_function=""GO:0005198 - structural molecule activity
BPS_RS00885	process	GO:0019069	viral capsid assembly
BPS_RS00905	function	GO:0003677	DNA binding
BPS_RS00910	function	GO:0004540	RNA nuclease activity
BPS_RS00910	process	GO:0008219	cell death
BPS_RS00925	process	GO:0008616	                     /GO_process=""GO:0008616 - queuosine biosynthetic process
BPS_RS00930	function	GO:0046872	metal ion binding
BPS_RS00930	function	GO:0051539	                     /GO_function=""GO:0051539 - 4 iron, 4 sulfur cluster
BPS_RS00930	function	GO:1904047	                     /GO_function=""GO:1904047 - S-adenosyl-L-methionine binding
BPS_RS00930	process	GO:0006400	tRNA modification
BPS_RS00930	process	GO:0008616	                     /GO_process=""GO:0008616 - queuosine biosynthetic process
BPS_RS00935	function	GO:0003824	catalytic activity
BPS_RS00935	process	GO:0008616	                     /GO_process=""GO:0008616 - queuosine biosynthetic process
BPS_RS00940	function	GO:0016830	                     /GO_function=""GO:0016830 - carbon-carbon lyase activity
BPS_RS00940	function	GO:0046872	metal ion binding
BPS_RS00945	function	GO:0005515	protein binding
BPS_RS00950	component	GO:0016020	membrane
BPS_RS00950	process	GO:0008360	                     /GO_process=""GO:0008360 - regulation of cell shape
BPS_RS00955	component	GO:0016020	membrane
BPS_RS00955	function	GO:0003824	catalytic activity
BPS_RS00955	function	GO:0008658	penicillin binding
BPS_RS00955	process	GO:0009252	                     /GO_process=""GO:0009252 - peptidoglycan biosynthetic
BPS_RS00960	component	GO:0016020	membrane
BPS_RS00960	process	GO:0008360	                     /GO_process=""GO:0008360 - regulation of cell shape
BPS_RS00965	process	GO:0008360	                     /GO_process=""GO:0008360 - regulation of cell shape
BPS_RS00970	component	GO:0005737	cytoplasm
BPS_RS00970	function	GO:0005524	ATP binding
BPS_RS00970	process	GO:0000902	cell morphogenesis
BPS_RS00970	process	GO:0008360	                     /GO_process=""GO:0008360 - regulation of cell shape
BPS_RS00975	component	GO:0030956	                     /GO_component=""GO:0030956 - glutamyl-tRNA(Gln)
BPS_RS00975	function	GO:0050567	                     /GO_function=""GO:0050567 - glutaminyl-tRNA synthase
BPS_RS00975	process	GO:0006424	                     /GO_process=""GO:0006424 - glutamyl-tRNA aminoacylation
BPS_RS00975	process	GO:0006450	                     /GO_process=""GO:0006450 - regulation of translational
BPS_RS00980	component	GO:0030956	                     /GO_component=""GO:0030956 - glutamyl-tRNA(Gln)
BPS_RS00980	function	GO:0050567	                     /GO_function=""GO:0050567 - glutaminyl-tRNA synthase
BPS_RS00980	process	GO:0006412	translation
BPS_RS00980	process	GO:0006424	                     /GO_process=""GO:0006424 - glutamyl-tRNA aminoacylation
BPS_RS00985	function	GO:0016884	                     /GO_function=""GO:0016884 - carbon-nitrogen ligase
BPS_RS00990	function	GO:0016776	                     /GO_function=""GO:0016776 - phosphotransferase activity,
BPS_RS00990	process	GO:0006797	                     /GO_process=""GO:0006797 - polyphosphate metabolic process
BPS_RS00995	function	GO:0004518	nuclease activity
BPS_RS00995	process	GO:0006281	DNA repair
BPS_RS01000	function	GO:0016491	                     /GO_function=""GO:0016491 - oxidoreductase activity
BPS_RS01005	function	GO:0003677	DNA binding
BPS_RS01005	function	GO:0003700	                     /GO_function=""GO:0003700 - DNA-binding transcription
BPS_RS01005	process	GO:0006355	                     /GO_process=""GO:0006355 - regulation of DNA-templated
BPS_RS01010	function	GO:0004222	                     /GO_function=""GO:0004222 - metalloendopeptidase activity
BPS_RS01010	function	GO:0046872	metal ion binding
BPS_RS01010	process	GO:0006508	proteolysis
BPS_RS01020	process	GO:0009086	                     /GO_process=""GO:0009086 - methionine biosynthetic process
BPS_RS01025	function	GO:0008899	                     /GO_function=""GO:0008899 - homoserine
BPS_RS01025	process	GO:0009086	                     /GO_process=""GO:0009086 - methionine biosynthetic process
BPS_RS01030	function	GO:0003677	DNA binding
BPS_RS01030	process	GO:0010974	                     /GO_process=""GO:0010974 - negative regulation of division
BPS_RS01040	component	GO:0005737	cytoplasm
BPS_RS01040	function	GO:0003991	                     /GO_function=""GO:0003991 - acetylglutamate kinase activity
BPS_RS01040	process	GO:0006592	                     /GO_process=""GO:0006592 - ornithine biosynthetic process
BPS_RS01060	component	GO:0009376	                     /GO_component=""GO:0009376 - HslUV protease complex
BPS_RS01060	function	GO:0005524	ATP binding
BPS_RS01060	function	GO:0008233	peptidase activity
BPS_RS01060	function	GO:0016887	                     /GO_function=""GO:0016887 - ATP hydrolysis activity
BPS_RS01065	component	GO:0009376	                     /GO_component=""GO:0009376 - HslUV protease complex
BPS_RS01065	function	GO:0004298	                     /GO_function=""GO:0004298 - threonine-type endopeptidase
BPS_RS01065	process	GO:0051603	                     /GO_process=""GO:0051603 - proteolysis involved in protein
BPS_RS01070	function	GO:0008270	zinc ion binding
BPS_RS01070	function	GO:0019899	enzyme binding
BPS_RS01070	process	GO:0006355	                     /GO_process=""GO:0006355 - regulation of DNA-templated
BPS_RS01075	function	GO:0003924	GTPase activity
BPS_RS01075	function	GO:0005525	GTP binding
BPS_RS01075	function	GO:0046872	metal ion binding
BPS_RS01080	function	GO:0008168	                     /GO_function=""GO:0008168 - methyltransferase activity
BPS_RS01080	function	GO:1904047	                     /GO_function=""GO:1904047 - S-adenosyl-L-methionine binding
BPS_RS01080	process	GO:0006364	rRNA processing
BPS_RS01085	function	GO:0003677	DNA binding
BPS_RS01085	process	GO:0006310	DNA recombination
BPS_RS01085	process	GO:0007059	chromosome segregation
BPS_RS01085	process	GO:0015074	DNA integration
BPS_RS01085	process	GO:0051301	cell division
BPS_RS01095	function	GO:0008837	                     /GO_function=""GO:0008837 - diaminopimelate epimerase
BPS_RS01095	process	GO:0009089	                     /GO_process=""GO:0009089 - lysine biosynthetic process via
BPS_RS01105	function	GO:0004478	                     /GO_function=""GO:0004478 - methionine adenosyltransferase
BPS_RS01105	function	GO:0005524	ATP binding
BPS_RS01105	process	GO:0006556	                     /GO_process=""GO:0006556 - S-adenosylmethionine
BPS_RS01115	function	GO:0046872	metal ion binding
BPS_RS01115	function	GO:0051213	dioxygenase activity
BPS_RS01125	function	GO:0047834	                     /GO_function=""GO:0047834 - D-threo-aldose 1-dehydrogenase
BPS_RS01135	component	GO:0016020	membrane
BPS_RS01135	function	GO:0022857	                     /GO_function=""GO:0022857 - transmembrane transporter
BPS_RS01135	process	GO:0055085	                     /GO_process=""GO:0055085 - transmembrane transport
BPS_RS01145	component	GO:0005886	plasma membrane
BPS_RS01145	component	GO:0016020	membrane
BPS_RS01145	function	GO:0022857	                     /GO_function=""GO:0022857 - transmembrane transporter
BPS_RS01145	process	GO:0055085	                     /GO_process=""GO:0055085 - transmembrane transport
BPS_RS01155	function	GO:0004674	                     /GO_function=""GO:0004674 - protein serine/threonine kinase
BPS_RS01155	process	GO:0006468	                     /GO_process=""GO:0006468 - protein phosphorylation
BPS_RS01165	function	GO:0050269	                     /GO_function=""GO:0050269 - coniferyl-aldehyde
BPS_RS01165	process	GO:0006081	                     /GO_process=""GO:0006081 - aldehyde metabolic process
BPS_RS01170	function	GO:0003995	                     /GO_function=""GO:0003995 - acyl-CoA dehydrogenase activity
BPS_RS01175	function	GO:0016491	                     /GO_function=""GO:0016491 - oxidoreductase activity
BPS_RS01175	function	GO:0050660	                     /GO_function=""GO:0050660 - flavin adenine dinucleotide
BPS_RS01185	component	GO:0009288	                     /GO_component=""GO:0009288 - bacterial-type flagellum
BPS_RS01185	function	GO:0003774	                     /GO_function=""GO:0003774 - cytoskeletal motor activity
BPS_RS01185	process	GO:0071973	                     /GO_process=""GO:0071973 - bacterial-type
BPS_RS01190	function	GO:0016887	                     /GO_function=""GO:0016887 - ATP hydrolysis activity
BPS_RS01190	process	GO:0044780	                     /GO_process=""GO:0044780 - bacterial-type flagellum
BPS_RS01190	process	GO:0071973	                     /GO_process=""GO:0071973 - bacterial-type
BPS_RS01195	component	GO:0009288	                     /GO_component=""GO:0009288 - bacterial-type flagellum
BPS_RS01195	function	GO:0003774	                     /GO_function=""GO:0003774 - cytoskeletal motor activity
BPS_RS01200	component	GO:0009288	                     /GO_component=""GO:0009288 - bacterial-type flagellum
BPS_RS01200	function	GO:0003774	                     /GO_function=""GO:0003774 - cytoskeletal motor activity
BPS_RS01200	process	GO:0006935	chemotaxis
BPS_RS01200	process	GO:0071973	                     /GO_process=""GO:0071973 - bacterial-type
BPS_RS01205	component	GO:0009431	                     /GO_component=""GO:0009431 - bacterial-type flagellum basal
BPS_RS01205	function	GO:0005198	                     /GO_function=""GO:0005198 - structural molecule activity
BPS_RS01205	process	GO:0001539	                     /GO_process=""GO:0001539 - cilium or flagellum-dependent
BPS_RS01210	component	GO:0009431	                     /GO_component=""GO:0009431 - bacterial-type flagellum basal
BPS_RS01210	function	GO:0003774	                     /GO_function=""GO:0003774 - cytoskeletal motor activity
BPS_RS01210	process	GO:0071973	                     /GO_process=""GO:0071973 - bacterial-type
BPS_RS01215	process	GO:0044780	                     /GO_process=""GO:0044780 - bacterial-type flagellum
BPS_RS01240	function	GO:0070403	NAD+ binding
BPS_RS01245	component	GO:0016020	membrane
BPS_RS01245	function	GO:0022857	                     /GO_function=""GO:0022857 - transmembrane transporter
BPS_RS01245	process	GO:0055085	                     /GO_process=""GO:0055085 - transmembrane transport
BPS_RS01255	function	GO:0000155	                     /GO_function=""GO:0000155 - phosphorelay sensor kinase
BPS_RS01255	function	GO:0004673	                     /GO_function=""GO:0004673 - protein histidine kinase
BPS_RS01255	function	GO:0005524	ATP binding
BPS_RS01255	process	GO:0007165	signal transduction
BPS_RS01260	function	GO:0004324	                     /GO_function=""GO:0004324 - ferredoxin-NADP+ reductase
BPS_RS01265	component	GO:0016020	membrane
BPS_RS01265	process	GO:0006865	amino acid transport
BPS_RS01270	function	GO:0003824	catalytic activity
BPS_RS01285	function	GO:0005524	ATP binding
BPS_RS01285	function	GO:0016887	                     /GO_function=""GO:0016887 - ATP hydrolysis activity
BPS_RS01290	function	GO:0000166	nucleotide binding
BPS_RS01290	function	GO:0016491	                     /GO_function=""GO:0016491 - oxidoreductase activity
BPS_RS01300	function	GO:0022857	                     /GO_function=""GO:0022857 - transmembrane transporter
BPS_RS01300	process	GO:0055085	                     /GO_process=""GO:0055085 - transmembrane transport
BPS_RS01305	component	GO:0055052	                     /GO_component=""GO:0055052 - ATP-binding cassette (ABC)
BPS_RS01305	function	GO:0042626	                     /GO_function=""GO:0042626 - ATPase-coupled transmembrane
BPS_RS01305	function	GO:0140359	                     /GO_function=""GO:0140359 - ABC-type transporter activity
BPS_RS01310	component	GO:0016020	membrane
BPS_RS01310	process	GO:0055085	                     /GO_process=""GO:0055085 - transmembrane transport
BPS_RS01315	component	GO:0016020	membrane
BPS_RS01315	process	GO:0055085	                     /GO_process=""GO:0055085 - transmembrane transport
